Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
Absence of red reflex,Absence of red reflex - possible symptom related to eye health.,,Retinoblastoma; Cataract,,Symptom,N/A,,Aalinafe Enock Chisati
Bleeding from the eye,Bleeding from the eye - possible symptom related to eye health.,,Trauma; Hyphema,,Symptom,N/A,,Aalinafe Enock Chisati
Blood clots in anterior chamber,Blood clots in anterior chamber - possible symptom related to eye health.,,Hyphema,,Symptom,N/A,,Aalinafe Enock Chisati
Blurry vision,Blurry vision - possible symptom related to eye health.,,Refractive errors; Diabetic retinopathy,,Symptom,N/A,,Aalinafe Enock Chisati
Burning,Burning - possible symptom related to eye health.,,Dry eye syndrome; Conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Burning/foreign body sensation,Burning/foreign body sensation - possible symptom related to eye health.,,Dry eye syndrome; Conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Conjunctival hyperaemia,Conjunctival hyperaemia - possible symptom related to eye health.,,Conjunctivitis; Uveitis,,Symptom,N/A,,Aalinafe Enock Chisati
Conjunctival papillae,Conjunctival papillae - possible symptom related to eye health.,,Allergic conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Corneal oedema,Corneal oedema - possible symptom related to eye health.,,Glaucoma,,Symptom,N/A,,Aalinafe Enock Chisati
Difficulty focusing on nearby objects,Difficulty focusing on nearby objects - possible symptom related to eye health.,,Presbyopia; Hyperopia,,Symptom,N/A,,Aalinafe Enock Chisati
Difficulty seeing distant objects,Difficulty seeing distant objects - possible symptom related to eye health.,,Myopia,,Symptom,N/A,,Aalinafe Enock Chisati
Diplopia,Diplopia - possible symptom related to eye health.,,Strabismus; Cranial nerve palsy,,Symptom,N/A,,Aalinafe Enock Chisati
Distorted vision,Distorted vision - possible symptom related to eye health.,,Macular degeneration,,Symptom,N/A,,Aalinafe Enock Chisati
Double vision,Double vision - possible symptom related to eye health.,,Strabismus; Cranial nerve palsy,,Symptom,N/A,,Aalinafe Enock Chisati
Dull frontal headache,Dull frontal headache - possible symptom related to eye health.,,Refractive errors,,Symptom,N/A,,Aalinafe Enock Chisati
Excessive tearing,Excessive tearing - possible symptom related to eye health.,,Allergic conjunctivitis; Dry eye syndrome; Corneal abrasion,,Symptom,N/A,,Aalinafe Enock Chisati
Eye discomfort,Eye discomfort - possible symptom related to eye health.,,Dry eye syndrome; Conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Eye strain,Eye strain - possible symptom related to eye health.,,Refractive errors,,Symptom,N/A,,Aalinafe Enock Chisati
Eyelid oedema,Eyelid oedema - possible symptom related to eye health.,,Allergic conjunctivitis; Bacterial conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Fatigue after near tasks,Fatigue after near tasks - possible symptom related to eye health.,,Presbyopia; Hyperopia,,Symptom,N/A,,Aalinafe Enock Chisati
Feeling of something in the eye,Feeling of something in the eye - possible symptom related to eye health.,,Foreign body; Corneal abrasion,,Symptom,N/A,,Aalinafe Enock Chisati
Fever,Fever - possible symptom related to eye health.,,Orbital cellulitis,,Symptom,N/A,,Aalinafe Enock Chisati
Flat anterior chamber,Flat anterior chamber - possible symptom related to eye health.,,Open globe injury; Glaucoma,,Symptom,N/A,,Aalinafe Enock Chisati
Glare,Glare - possible symptom related to eye health.,,Cataract,,Symptom,N/A,,Aalinafe Enock Chisati
Grittiness,Grittiness - possible symptom related to eye health.,,Dry eye syndrome,,Symptom,N/A,,Aalinafe Enock Chisati
Headache,Headache - possible symptom related to eye health.,,Glaucoma; Refractive error,,Symptom,N/A,,Aalinafe Enock Chisati
High intraocular pressure (IOP),High intraocular pressure (IOP) - possible symptom related to eye health.,,Glaucoma,,Symptom,N/A,,Aalinafe Enock Chisati
History of injury,History of injury - possible symptom related to eye health.,,Trauma-related conditions,,Symptom,N/A,,Aalinafe Enock Chisati
Hyphema,Hyphema - possible symptom related to eye health.,,Trauma; Bleeding disorders,,Symptom,N/A,,Aalinafe Enock Chisati
Increasing near-sightedness,Increasing near-sightedness - possible symptom related to eye health.,,Cataract,,Symptom,N/A,,Aalinafe Enock Chisati
Inflamed eyelids,Inflamed eyelids - possible symptom related to eye health.,,Blepharitis,,Symptom,N/A,,Aalinafe Enock Chisati
Itching,Itching - possible symptom related to eye health.,,Allergic conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Itchy eyes,Itchy eyes - possible symptom related to eye health.,,Allergic conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Leukocoria,Leukocoria - possible symptom related to eye health.,,Retinoblastoma; Congenital cataract,,Symptom,N/A,,Aalinafe Enock Chisati
Loss of contrast sensitivity,Loss of contrast sensitivity - possible symptom related to eye health.,,Cataract; Macular degeneration,,Symptom,N/A,,Aalinafe Enock Chisati
Loss of vision,Loss of vision - possible symptom related to eye health.,,Glaucoma; Retinal detachment; Optic neuritis,,Symptom,N/A,,Aalinafe Enock Chisati
Mild pain or discomfort,Mild pain or discomfort - possible symptom related to eye health.,,Dry eye syndrome; Conjunctivitis,,Symptom,N/A,,Aalinafe Enock Chisati
Obvious corneal laceration,Obvious corneal laceration - possible symptom related to eye health.,,Open globe injury,,Symptom,N/A,,Aalinafe Enock Chisati
Painful extraocular movements,Painful extraocular movements - possible symptom related to eye health.,,Orbital cellulitis,,Symptom,N/A,,Aalinafe Enock Chisati
"Painless, gradual loss of vision","Painless, gradual loss of vision - possible symptom related to eye health.",,Cataract; Diabetic retinopathy,,Symptom,N/A,,Aalinafe Enock Chisati
Peaked pupil,Peaked pupil - possible symptom related to eye health.,,Open globe injury,,Symptom,N/A,,Aalinafe Enock Chisati
Periocular pain,Periocular pain - possible symptom related to eye health.,,Orbital cellulitis; Scleritis,,Symptom,N/A,,Aalinafe Enock Chisati
Pinkness or redness of the eye,Pinkness or redness of the eye - possible symptom related to eye health.,,Conjunctivitis; Uveitis; Scleritis,,Symptom,N/A,,Aalinafe Enock Chisati
Poor vision,Poor vision - possible symptom related to eye health.,,Glaucoma; Macular degeneration,,Symptom,N/A,,Aalinafe Enock Chisati
Prolapsed iris,Prolapsed iris - possible symptom related to eye health.,,Open globe injury,,Symptom,N/A,,Aalinafe Enock Chisati
Proptosis,Proptosis - possible symptom related to eye health.,,Orbital cellulitis; Thyroid eye disease,,Symptom,N/A,,Aalinafe Enock Chisati
Relative Afferent Pupillary Defect (RAPD),Relative Afferent Pupillary Defect (RAPD) - possible symptom related to eye health.,,Optic neuritis; Retinal detachment,,Symptom,N/A,,Aalinafe Enock Chisati
Reduced color vision,Reduced color vision - possible symptom related to eye health.,,Optic neuritis,,Symptom,N/A,,Aalinafe Enock Chisati
Restricted extraocular movements,Restricted extraocular movements - possible symptom related to eye health.,,Orbital cellulitis; Cranial nerve palsy,,Symptom,N/A,,Aalinafe Enock Chisati
Sensitivity to light,Sensitivity to light - possible symptom related to eye health.,,Uveitis; Corneal abrasion,,Symptom,N/A,,Aalinafe Enock Chisati
Severe pain,Severe pain - possible symptom related to eye health.,,Acute angle-closure glaucoma; Scleritis,,Symptom,N/A,,Aalinafe Enock Chisati
Soft eyeball,Soft eyeball - possible symptom related to eye health.,,Open globe injury,,Symptom,N/A,,Aalinafe Enock Chisati
Squinting,Squinting - possible symptom related to eye health.,,Strabismus,,Symptom,N/A,,Aalinafe Enock Chisati
