Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
1,Eye Care Program,Main program to manage eye conditions,,,,Program,N/A,,
2,Eye Condition Screening Status,Tracks screening status,,Screened;Referred;Not Screened,,Workflow,Coded,,
3,Treatment Status,Treatment progress,,Under Treatment;Completed;Not Treated,,Workflow,Coded,,
4,Cataract,Clouding of the lens,,,,Diagnosis,N/A,,
5,Glaucoma,Increased intraocular pressure,,,,Diagnosis,N/A,,
6,Refractive Error,Includes myopia, hyperopia, astigmatism,,,,Diagnosis,N/A,,
7,Diabetic Retinopathy,Damage to retina due to diabetes,,,,Diagnosis,N/A,,
8,Age-Related Macular Degeneration,Deterioration of macula,,,,Diagnosis,N/A,,
9,Visual Acuity (Left Eye),Measured acuity score,,,,Finding,Numeric,,
10,Visual Acuity (Right Eye),Measured acuity score,,,,Finding,Numeric,,
11,Eye Pain,Pain in either eye,,,,Symptom/Finding,Boolean,,
12,Blurry Vision,Patient reports blurred vision,,,,Symptom/Finding,Boolean,,
13,Red Eye,Inflammation or irritation in the eye,,,,Symptom/Finding,Boolean,,
14,Referral Needed,Whether patient needs referral,,,,Symptom/Finding,Boolean,,
15,Diagnosis Made,Final condition diagnosed,,Cataract;Glaucoma;Refractive Error;Diabetic Retinopathy,,Diagnosis,Coded,,
16,Prescribed Eyeglasses,Whether eyeglasses were prescribed,,Yes;No,,Procedure,Coded,,
17,Cataract Surgery Scheduled,Whether patient is scheduled for surgery,,,,Procedure,Boolean,,
18,Medication Prescribed,Free-text field for drugs,,,,Drug,Text,,
19,Date of Enrollment,Enrollment date into program,,,,Encounter,Date,,
20,Referred From,Source that referred the patient,,,,Finding,Text,,
21,Next Review Date,Date of next eye checkup,,,,Finding,Date,,
